White,Black,Result,WhiteElo,BlackElo,TimeControl,Termination,FEN,WhiteTimes,BlackTimes
RuyLopez101,Serkan_76,0-1,1764,1972,300+0,Normal,rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w KQkq - 0 1,"[0, 1, 11, 11, 2, 4, 10, 2, 18, 13, 6, 2, 6, 10, 9, 15, 3, 10, 11, 32, 3, 2, 22, 5, 12, 7, 10, 15, 2, 2]","[0, 1, 2, 7, 1, 2, 2, 2, 1, 4, 7, 1, 33, 10, 12, 18, 4, 35, 8, 19, 2, 15, 15, 20, 1, 7, 3, 32, 24, 2]"
mimbechess,yuuruma,0-1,1975,1867,300+0,Normal,bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w KQkq - 0 1,"[0, 2, 6, 12, 5, 2, 26, 13, 11, 16, 4, 3, 7, 18, 2, 40, 0, 27, 5, 5, 2]","[0, 4, 2, 3, 3, 6, 4, 12, 4, 4, 5, 13, 6, 3, 4, 1, 5, 4, 27, 3, 3]"
Adelina2022Ya,Cherry_02102013,1-0,1496,913,300+3,Normal,brnbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKRQ w KQkq - 0 1,"[56, 4, 0, 4, 0, 7, 7, 3, 1, 1, 6, 8, 8, 0, 2, 0, 1, 0, 5, 3, 0, 12, 0, 3, 3, 6, 0, 3, 0, 0, 0, 3, 2, 1]","[0, 2, 0, 3, 2, 0, 0, 10, 4, 2, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 5, 3, 1, 0, 6, 2, 1, 6, 11, 0, 2, 2, 8, 1, 1]"
Nikolay385,ShahmatRusakova,0-1,1203,1356,300+3,Normal,nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w KQkq - 0 1,"[0, 4, 0, 1, 6, 0, 0, 4, 0, 8, 0, 4, 5, 0, 0, 0, 5]","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Dan_Shilov,SanechekSigma,0-1,1425,1542,300+3,Normal,rnqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNQNBBKR w KQkq - 0 1,"[0, 4, 0, 3, 1, 8, 4, 4, 2, 0, 4, 5, 1, 0, 16, 0, 20, 10, 2, 11, 4, 1, 6, 3, 4, 4]","[0, 0, 6, 15, 2, 18, 6, 7, 5, 2, 1, 9, 1, 0, 2, 4, 24, 4, 21, 0, 15, 2, 0, 7, 9, 4]"
Lapa_Alex_2014,buntarik,1/2-1/2,1611,1903,300+3,Normal,rknnbrqb/pppppppp/8/8/8/8/PPPPPPPP/RKNNBRQB w KQkq - 0 1,"[0, 0, 4, 1, 0, 0, 17, 33, 12, 17, 3, 21, 24, 6, 15, 1, 0, 6, 4, 7, 1, 2, 4, 4, 0, 0, 4, 2, 1, 2, 6, 3, 18, 11, 0, 24, 3, 2, 2, 1, 0, 6, 0, 8, 0, 0, 0, 4, 1, 0, 5, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 3, 0, 5, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 9, 6, 10, 4, 2, 4, 0, 2, 23, 0, 0, 0, 1, 0, 0, 2, 0, 0, 4, 0, 3, 6, 0, 0, 16, 10, 6, 3, 5, 15, 0, 0, 14, 0, 2, 0, 28, 1, 0, 1, 1, 4, 5, 4, 6, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 5, 0, 0, 1, 1, 0, 0]"
UralskKz,maria_oskolkova,1-0,2192,1452,300+3,Normal,rbbnnkqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKQR w KQkq - 0 1,"[0, 3, 1, 0, 22, 0, 15, 6, 1, 0, 0]","[0, 0, 0, 0, 0, 3, 0, 23, 0, 0, 0, 1]"
ULTIMATE_PLAYER,hpapel,0-1,1469,1478,300+3,Normal,rbbnkrnq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKRNQ w KQkq - 0 1,"[0, 1, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]","[0, 5, 2, 1, 0, 7, 0, 2, 3, 7, 2, 9, 3, 0, 0, 0, 0, 0, 2, 1, 3, 3, 8, 2, 2, 0, 0, 2, 0]"
MaguHel,Prist6,1-0,1813,1944,180+2,Normal,rqnknrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKNRBB w KQkq - 0 1,"[0, 0, 0, 0, 1, 0, 4, 1, 0, 0, 4, 0, 2, 1, 2, 5, 5, 1, 0, 3, 7, 0, 1, 2, 3]","[0, 1, 5, 0, 8, 0, 1, 0, 0, 0, 20, 7, 1, 0, 4, 23, 1, 4, 0, 19, 5, 1, 2, 12, 1, 5]"
achilovilhom1979,akobir_xudoyorov,1-0,1659,1920,300+2,Normal,bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w KQkq - 0 1,"[0, 1, 4, 3, 0, 2, 0, 0, 0, 0, 0, 5, 9, 2, 0, 3, 21, 5, 1, 1, 0, 0, 3, 7, 0, 3, 4, 0, 3, 1, 0, 6, 1, 2, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 6, 0, 0, 2, 3, 3, 0, 1, 3, 8, 2, 0, 1, 2, 0, 0, 0, 6, 5, 1, 1, 0, 4, 0, 2, 4, 0, 3, 1, 2, 1, 6, 3, 0, 0, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Bars_rnd,HarryPillsner,0-1,1527,1492,180+3,Normal,rbqknrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQKNRBN w KQkq - 0 1,"[0, 0, 1, 0, 4, 4, 1, 0, 0, 0, 5, 1, 11, 2, 11, 0, 9, 1, 5, 0, 0, 0, 5, 1, 5, 0, 0, 0, 0, 0, 1, 0]","[0, 6, 0, 1, 10, 5, 5, 5, 0, 11, 2, 0, 9, 0, 11, 4, 2, 6, 3, 0, 6, 7, 0, 6, 2, 7, 13, 2, 0, 2, 0, 0]"
N5n7e9,Drkol,1-0,1728,1747,300+3,Time forfeit,qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w KQkq - 0 1,"[0, 2, 0, 0, 0, 6, 5, 10, 5, 23, 30, 7, 18, 3, 13, 1, 3, 6, 8, 13, 18, 0, 12, 3, 81, 1, 12, 0, 14, 2]","[0, 0, 0, 0, 0, 3, 0, 6, 1, 2, 0, 3, 0, 14, 7, 26, 21, 3, 66, 9, 0, 13, 0, 3, 46, 0, 3, 1, 42, 8, 0]"
Leoooo948,MrMonsterHunter,1-0,1944,1937,180+2,Normal,qrbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBRN w KQkq - 0 1,"[0, 0, 0, 3, 1, 6, 4, 0, 0, 23, 2, 10, 0, 0, 0, 0, 1, 2, 5, 2, 7, 7]","[0, 0, 0, 12, 15, 0, 10, 1, 3, 9, 4, 14, 12, 0, 3, 1, 0, 33, 6, 22, 8, 4, 4]"
Onitram,yugoshey,1-0,1628,1610,300+0,Normal,qrnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBNR w KQkq - 0 1,"[0, 4, 3, 4, 3, 5, 6, 17, 8, 8, 5, 12, 3, 16, 7, 19, 7, 11, 2, 3, 3, 13, 4]","[0, 1, 1, 10, 3, 5, 2, 3, 4, 21, 2, 5, 3, 5, 2, 7, 1, 10, 3, 1, 1, 5, 5, 2]"
Bole1981,kingjohn52,1-0,1776,1697,180+2,Normal,rbnknqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKNQBR w KQkq - 0 1,"[0, 1, 2, 3, 10, 8, 0, 5, 1, 15, 33, 17, 0, 0, 7, 0, 1, 20, 0, 0, 8, 2]","[0, 1, 7, 21, 12, 0, 0, 17, 14, 0, 10, 4, 1, 21, 0, 1, 3, 6, 3, 0, 1, 0, 2]"
petr0,IsapPatrickStar,1-0,1779,1719,180+2,Normal,qrbknnrb/pppppppp/8/8/8/8/PPPPPPPP/QRBKNNRB w KQkq - 0 1,"[0, 0, 1, 14, 0, 10, 1, 0, 1, 8, 8, 0, 4, 2, 4, 3, 7, 0, 2, 5, 2, 10, 3, 14, 6, 3, 30, 12]","[0, 5, 2, 0, 2, 10, 10, 4, 6, 0, 21, 0, 16, 0, 10, 2, 0, 11, 0, 5, 0, 4, 6, 5, 2, 0, 18, 3, 6]"
DrFehlzug,hpapel,1/2-1/2,1550,1483,300+3,Normal,qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w KQkq - 0 1,"[0, 2, 1, 0, 0, 0, 6, 21, 0, 0, 28, 9, 0, 0, 8, 8, 0, 0, 0, 0, 41, 0, 18, 11, 3, 9, 0, 1, 3, 0, 0, 0, 0, 1, 9, 1, 4, 7, 0, 2, 31, 8, 13, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 2, 0, 2, 4, 0, 3, 0, 0, 0]","[0, 8, 3, 8, 10, 21, 5, 13, 0, 0, 2, 5, 0, 11, 4, 10, 0, 11, 0, 1, 15, 4, 56, 15, 3, 12, 1, 0, 14, 0, 11, 0, 1, 0, 4, 3, 3, 5, 0, 2, 0, 0, 2, 9, 0, 5, 2, 3, 0, 6, 0, 0, 4, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
fitepan,h45h3r,0-1,1698,1653,180+2,Normal,bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w KQkq - 0 1,"[0, 1, 0, 0, 16, 11, 10, 14, 0, 12, 15, 8, 7, 9, 4, 6, 8, 4]","[0, 2, 4, 1, 0, 2, 4, 1, 0, 16, 38, 12, 2, 0, 0, 0, 0, 4]"
mimbechess,slabak62,1-0,1967,1834,300+0,Normal,nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w KQkq - 0 1,"[0, 2, 9, 13, 5, 4, 3, 1, 2, 1, 2, 18, 2, 5, 4, 2, 17, 0, 2, 2, 12, 7, 2, 1, 1, 38, 3, 17, 4, 8, 1, 1, 4, 26, 2, 10, 18, 2, 26, 1, 6, 1, 2, 1, 3, 1, 2, 2]","[0, 10, 5, 6, 7, 4, 20, 6, 10, 4, 5, 4, 25, 3, 3, 13, 2, 7, 6, 2, 8, 5, 4, 2, 29, 2, 3, 7, 5, 1, 3, 4, 3, 1, 3, 2, 11, 5, 2, 4, 2, 2, 6, 4, 1, 3, 2, 1, 2]"
akobir_xudoyorov,achilovilhom1979,1-0,1829,1699,300+2,Normal,bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w KQkq - 0 1,"[0, 2, 1, 1, 6, 0, 8, 2, 4, 0, 1, 0, 1, 7, 2, 1, 0, 6, 1, 5, 2, 11, 0, 7, 0, 2, 1, 5, 6]","[0, 3, 2, 1, 1, 0, 0, 5, 10, 1, 0, 3, 1, 0, 6, 1, 1, 0, 11, 8, 10, 3, 3, 0, 0, 10, 18, 3, 2, 3]"
Prist6,MaguHel,1-0,1936,1821,180+2,Normal,rqnknrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKNRBB w KQkq - 0 1,"[0, 1, 1, 0, 0, 5, 0, 0, 4, 0, 3, 48, 1, 39, 6, 20, 11, 21, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 7, 0, 7, 2, 0, 10, 6, 16, 9, 3, 0, 4, 30, 21, 22, 2, 5, 18, 0, 8, 0, 0, 0, 0, 0]"
HarryPillsner,Bars_rnd,0-1,1514,1521,180+3,Normal,rbqknrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQKNRBN w KQkq - 0 1,"[0, 0, 4, 9, 5, 0, 1, 0, 6, 3, 0, 0, 3, 4, 5, 0, 0, 0, 0, 0, 0, 2, 3, 0, 3, 1, 4, 5, 0, 12, 1, 1, 1, 2, 0, 3, 0, 4]","[0, 0, 0, 0, 1, 0, 7, 3, 0, 5, 2, 5, 3, 2, 5, 5, 1, 18, 0, 0, 5, 1, 2, 0, 9, 1, 0, 1, 0, 6, 1, 1, 0, 9, 1, 4, 8, 2]"
trela,BillHimmel,0-1,1526,1630,180+3,Normal,nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w KQkq - 0 1,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 21, 0, 10, 0, 0, 0, 6, 0, 2, 1, 6, 1, 0, 0, 0, 8, 0, 5, 3, 1, 0, 0, 13, 1, 0, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 13, 0, 3, 4, 0, 0, 4, 5, 0, 6, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 5, 0, 0]"
tony6666,ALK123,1-0,1824,1607,300+5,Normal,rknnbbqr/pppppppp/8/8/8/8/PPPPPPPP/RKNNBBQR w KQkq - 0 1,"[0, 12, 19, 8, 2, 13, 13, 23, 11, 36, 0, 8, 84, 12, 29, 2, 12]","[0, 8, 13, 0, 59, 8, 47, 0, 9, 0, 0, 0, 37, 40, 53, 0, 0, 0]"
hutsap,igtbtk,1-0,1562,1563,180+5,Normal,rnqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RNQKRBBN w KQkq - 0 1,"[0, 0, 9, 12, 5, 1, 0, 0, 0, 0, 4, 0, 6, 0, 18, 0]","[0, 0, 0, 0, 0, 0, 0, 5, 11, 0, 4, 5, 3, 0, 13, 4, 16]"
chubochubo,Kd-2001,0-1,1679,1681,300+1,Normal,nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w KQkq - 0 1,"[0, 4, 4, 1, 1, 4, 4, 1, 1, 0, 2, 1, 3, 1, 1, 4]","[0, 7, 3, 3, 15, 5, 11, 5, 1, 2, 6, 26, 6, 3, 5, 4]"
achilovilhom1979,akobir_xudoyorov,0-1,1683,1861,300+2,Normal,brkbnnrq/pppppppp/8/8/8/8/PPPPPPPP/BRKBNNRQ w KQkq - 0 1,"[0, 0, 0, 2, 0, 9, 4, 13, 0, 6, 9, 0, 1, 4, 3, 20, 6, 0, 0, 3, 4, 0, 3, 4, 2, 0, 9, 0, 18, 0, 35, 4, 0, 0, 2, 0, 0, 1, 2, 3, 1, 2, 1]","[0, 1, 0, 0, 0, 0, 11, 6, 0, 6, 0, 0, 13, 13, 2, 0, 0, 0, 0, 4, 3, 3, 2, 8, 0, 0, 2, 0, 0, 4, 0, 2, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0]"
Bars_rnd,HarryPillsner,1-0,1527,1495,180+3,Normal,qbrnnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNNKBR w KQkq - 0 1,"[0, 9, 0, 0, 0, 0, 4, 3, 13, 5, 4, 0, 0, 3, 0, 0, 4, 1, 0, 0, 4, 13, 11, 10, 12]","[0, 0, 7, 1, 2, 0, 0, 4, 1, 1, 0, 4, 4, 3, 0, 0, 3, 1, 9, 2, 12, 0, 6, 2, 4, 1]"
yugoshey,Onitram,0-1,1605,1657,300+0,Time forfeit,qrnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBNR w KQkq - 0 1,"[0, 2, 11, 4, 2, 16, 2, 6, 3, 2, 9, 21, 5, 6, 13, 5, 15, 7, 3, 10, 13, 29, 14, 3, 3, 6, 28, 14, 5, 5, 2, 13, 3, 3, 6, 1, 2, 1]","[0, 3, 6, 9, 11, 16, 8, 11, 26, 2, 1, 4, 3, 3, 13, 2, 16, 5, 12, 12, 6, 1, 4, 4, 25, 4, 10, 24, 4, 4, 13, 1, 20, 4, 5, 2, 2, 2]"
MaguHel,Prist6,0-1,1817,1940,180+2,Normal,rknrnbbq/pppppppp/8/8/8/8/PPPPPPPP/RKNRNBBQ w KQkq - 0 1,"[0, 0, 0, 0, 8, 0, 1, 26, 9, 3, 3, 0, 2, 0, 2, 2, 0, 6, 5, 1, 2, 1, 7, 7, 0, 0, 2, 3, 11, 0, 3, 4, 2, 14, 6, 3, 9, 0, 0, 0, 5, 0, 5, 2, 0, 0, 0, 0, 2, 8, 6, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 7, 1, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0]","[0, 0, 0, 7, 1, 2, 2, 4, 7, 15, 1, 0, 0, 1, 0, 4, 0, 0, 0, 1, 2, 0, 1, 15, 0, 8, 0, 1, 0, 6, 3, 5, 1, 5, 1, 1, 3, 4, 1, 5, 0, 0, 0, 0, 0, 0, 4, 0, 30, 0, 2, 1, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0, 4, 3, 7, 2, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 0]"
heydari2020,Dimidrol818,1-0,1613,1656,300+0,Normal,rkqnbnrb/pppppppp/8/8/8/8/PPPPPPPP/RKQNBNRB w KQkq - 0 1,"[0, 2, 3, 3, 6, 4, 6, 5, 3, 9, 11, 4, 24, 10, 18, 3, 3, 5, 4, 11, 15, 9, 2, 8]","[0, 1, 1, 2, 15, 1, 8, 1, 4, 2, 2, 13, 5, 5, 2, 6, 30, 18, 14, 10, 1, 12, 5, 6, 9]"
Kd-2001,chubochubo,1-0,1687,1674,300+1,Normal,nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w KQkq - 0 1,"[0, 0, 4, 16, 1, 17, 6, 5, 1, 0, 7, 6, 0, 11, 22, 78, 74, 3, 10, 3, 3, 0, 1, 10, 1]","[0, 1, 1, 1, 1, 2, 8, 1, 3, 1, 0, 15, 1, 0, 14, 4, 8, 8, 2, 1, 7, 1, 2, 1, 0, 1]"
kOzna,luisitov,1-0,1638,1676,300+3,Normal,rkbbnqnr/pppppppp/8/8/8/8/PPPPPPPP/RKBBNQNR w KQkq - 0 1,"[0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 20, 0, 10, 0, 2, 8, 1]","[0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 0, 2, 7, 5, 0, 0, 1, 0, 0, 2, 1]"
BillHimmel,Luaf,1-0,1634,1667,180+2,Normal,rqnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBNRB w KQkq - 0 1,"[0, 0, 4, 0, 0, 1, 1, 7, 2, 11, 4, 7, 2, 5, 11, 8, 5, 4, 8, 3, 0, 0]","[0, 0, 5, 0, 3, 0, 2, 0, 2, 2, 2, 1, 2, 0, 3, 1, 9, 0, 1, 4, 10, 11, 2]"
slabak62,mimbechess,0-1,1830,1971,300+0,Normal,nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w KQkq - 0 1,"[0, 6, 4, 20, 31, 2, 3, 3, 1, 18, 1, 1, 3, 3, 4, 2, 3, 0, 3, 3, 3, 2, 5, 7, 3, 4, 4, 6, 6, 2, 2, 3, 6, 16, 4, 3, 4, 3, 4, 3]","[0, 2, 4, 4, 12, 2, 11, 2, 5, 2, 7, 2, 2, 15, 3, 2, 23, 2, 3, 4, 17, 10, 1, 22, 8, 1, 1, 2, 4, 15, 1, 2, 6, 18, 3, 19, 7, 2, 6, 6]"
rouenKnight,Deathlessplug,1-0,1662,1348,300+5,Normal,qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w KQkq - 0 1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 8, 0, 0, 0, 12, 1, 0, 14, 0, 0, 9, 0]","[0, 0, 9, 2, 0, 0, 3, 0, 0, 0, 11, 12, 8, 0, 15, 0, 0, 9, 0, 4, 5, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 5, 5, 0, 6, 5, 0, 2, 3]"
trela,Ror-1208,1-0,1486,1142,180+3,Normal,bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w KQkq - 0 1,"[0, 0, 1, 0, 0, 4]","[0, 2, 1, 0, 0, 1, 0]"
akobir_xudoyorov,achilovilhom1979,1-0,1886,1670,300+2,Normal,brkbnnrq/pppppppp/8/8/8/8/PPPPPPPP/BRKBNNRQ w KQkq - 0 1,"[0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 4, 4, 1, 0, 6, 8, 4, 5, 2, 10, 5, 0, 0, 9, 0, 1, 1, 0]","[0, 1, 0, 0, 2, 0, 2, 0, 1, 5, 1, 0, 8, 0, 4, 0, 0, 10, 13, 8, 1, 0, 9, 4, 7, 4, 6, 23, 0, 0, 0]"
luisitov,kOzna,1-0,1669,1651,300+3,Normal,rkbbnqnr/pppppppp/8/8/8/8/PPPPPPPP/RKBBNQNR w KQkq - 0 1,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 6, 0, 0, 0, 0, 4, 0, 1, 4, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 16, 0, 0, 4, 6]"
Luaf,BillHimmel,1/2-1/2,1661,1640,180+2,Normal,rqnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBNRB w KQkq - 0 1,"[0, 0, 0, 1, 0, 5, 0, 0, 7, 0, 0, 2, 5, 0, 0, 64, 0, 2, 15, 5, 4, 14, 0, 0, 1, 3, 5, 2, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 3, 1, 0, 7, 7, 6, 0, 9, 14, 0, 0, 14, 20, 15, 22, 30, 19, 0, 3, 0, 1, 0, 0, 0, 0]"
Drkol,N5n7e9,1-0,1741,1734,300+3,Time forfeit,qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w KQkq - 0 1,"[0, 0, 0, 0, 4, 0, 4, 0, 2, 1, 0, 0, 0, 0, 5, 30, 12, 8, 11, 36, 8, 0, 43, 26, 8, 2, 9, 4, 29, 0, 3, 22, 8, 0, 1, 10, 4, 7, 0]","[0, 1, 1, 4, 0, 4, 0, 4, 0, 2, 2, 3, 9, 20, 6, 14, 0, 0, 9, 8, 6, 34, 0, 1, 8, 0, 0, 10, 24, 0, 0, 38, 0, 5, 0, 12, 6, 9, 13, 0]"
orvinn,Dimidrol818,1-0,1652,1650,300+0,Normal,nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w KQkq - 0 1,"[0, 6, 5, 5, 5, 10, 5, 4, 8, 10, 14, 14, 14, 18, 1, 2, 2, 7, 7, 1, 2, 12, 16, 8, 6, 4, 4, 3, 3, 0, 2]","[0, 1, 3, 4, 7, 4, 2, 2, 14, 2, 12, 14, 35, 9, 7, 12, 5, 12, 2, 5, 2, 20, 12, 5, 2, 3, 3, 2, 4, 5, 2]"
yuuruma,Aerfest,0-1,1871,1920,180+2,Normal,bbrknqnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKNQNR w KQkq - 0 1,"[0, 4, 0, 2, 4, 2, 0, 1, 0, 5, 1, 8, 0, 40, 0, 12, 3, 2, 2, 0, 0, 2, 7, 9, 0, 4, 1, 0, 1, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 0, 1, 1, 0, 1, 3, 3, 3]","[0, 2, 4, 6, 16, 0, 3, 6, 2, 17, 0, 2, 7, 53, 5, 3, 9, 16, 10, 0, 4, 0, 4, 4, 0, 7, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1]"
LinoCl,Wethley_Tho,0-1,1670,1613,180+6,Normal,bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w KQkq - 0 1,"[0, 0, 2, 2, 0, 2, 16, 4, 0, 0, 6, 0, 2, 8, 0, 1]","[0, 0, 4, 0, 0, 0, 4, 0, 3, 3, 0, 0, 0, 6, 0, 0]"
kOzna,luisitov,0-1,1640,1675,300+3,Normal,rknbrnbq/pppppppp/8/8/8/8/PPPPPPPP/RKNBRNBQ w KQkq - 0 1,"[0, 0, 0, 0, 2, 4, 4, 0, 6, 0, 0, 0, 0, 13, 0, 9, 1, 16, 2, 29, 0, 14, 2, 23, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 5, 2, 1, 8, 2, 10, 10, 0, 6, 0, 1, 5, 0, 3, 1]"
velikolepnii-gosha,Bole1981,1-0,1713,1781,180+2,Normal,bbrkqnnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKQNNR w KQkq - 0 1,"[0, 14, 1, 0, 0, 0, 10, 5, 0, 1, 10, 0, 11, 2, 0, 11, 2, 5, 0, 45, 16, 1, 0, 0, 1, 0, 1, 3, 3, 6, 1, 5, 3]","[0, 0, 0, 9, 13, 0, 23, 17, 1, 19, 2, 6, 18, 36, 14, 1, 0, 1, 4, 2, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 6, 0]"
